split	class_name	support	predicted	tp	fp	fn	precision	recall	f1
train	ecDNA	25	25	25	0	0	1.0	1.0	1.0
train	Seismic_Amplification	101	101	95	6	6	0.9405940594059405	0.9405940594059405	0.9405940594059405
train	chromothripsis	74	77	62	15	12	0.8051948051948052	0.8378378378378378	0.8211920529801325
train	BFB	145	84	83	1	62	0.9880952380952381	0.5724137931034483	0.7248908296943232
test	ecDNA	5	4	4	0	1	1.0	0.8	0.888888888888889
test	Seismic_Amplification	9	9	8	1	1	0.8888888888888888	0.8888888888888888	0.8888888888888888
test	chromothripsis	11	10	9	1	2	0.9	0.8181818181818182	0.8571428571428572
test	BFB	16	9	9	0	7	1.0	0.5625	0.72
all	ecDNA	30	29	29	0	1	1.0	0.9666666666666667	0.983050847457627
all	Seismic_Amplification	110	110	103	7	7	0.9363636363636364	0.9363636363636364	0.9363636363636364
all	chromothripsis	85	87	71	16	14	0.8160919540229885	0.8352941176470589	0.8255813953488372
all	BFB	161	93	92	1	69	0.989247311827957	0.5714285714285714	0.7244094488188976
