sample_id	baseline_source	n_baseline_candidates	n_sample_candidates	baseline_norm
AU565	unlabeled_scan	3	20	2.007615327835083
BT474	all_sample_candidates	21	21	1.7646620273590088
C33A	unlabeled_scan	3	4	1.7325541973114014
C4I	all_sample_candidates	3	3	1.8735367059707642
CAPAN1	unlabeled_scan	3	4	1.935314416885376
CAPAN2	all_sample_candidates	3	3	1.796825885772705
CERV186	unlabeled_scan	3	4	1.7092183828353882
CERV196	all_sample_candidates	2	2	1.8743058443069458
CERV215	all_sample_candidates	4	4	1.7236018180847168
CFPAC1	all_sample_candidates	10	10	2.0100724697113037
CaSki	all_sample_candidates	7	7	1.672841191291809
DOTC2	unlabeled_scan	3	12	2.086029052734375
H1395	all_sample_candidates	14	14	1.8136091232299805
H1437	all_sample_candidates	7	7	2.092878580093384
H2009	all_sample_candidates	7	7	1.8312187194824219
HCC1937	all_sample_candidates	7	7	1.652702808380127
HCC1954	unlabeled_scan	3	30	1.5703026056289673
HOKUG	all_sample_candidates	2	2	2.188385009765625
HOS	unlabeled_scan	3	10	1.8057713508605957
HT3	all_sample_candidates	7	7	1.9780126810073853
HeLa	all_sample_candidates	7	7	1.8682631254196167
JHUS_nk1	all_sample_candidates	5	5	1.6122393608093262
MDA_MD_361	all_sample_candidates	13	13	1.6869336366653442
MDA_MD_453	all_sample_candidates	4	4	1.970510482788086
ME180	all_sample_candidates	4	4	1.5610146522521973
MS751	all_sample_candidates	7	7	2.02191424369812
QGU	all_sample_candidates	8	8	1.8367558717727661
SCC090	all_sample_candidates	2	2	1.7938910722732544
SCC152	unlabeled_scan	51	53	1.924371600151062
SCC154	all_sample_candidates	4	4	1.5487556457519531
SIHA	all_sample_candidates	8	8	1.7630776166915894
SKBR3	all_sample_candidates	19	19	1.8323959112167358
SNU1000	all_sample_candidates	6	6	1.5796915292739868
SNU1005	all_sample_candidates	7	7	1.7214338779449463
SNU1299	all_sample_candidates	5	5	1.6371008157730103
SNU17	all_sample_candidates	4	4	1.9374053478240967
SNU682	all_sample_candidates	5	5	1.8474878072738647
SNU703	all_sample_candidates	4	4	1.8174498081207275
SNU902	all_sample_candidates	3	3	2.0756473541259766
SUIT	all_sample_candidates	5	5	1.9270093441009521
SW756	unlabeled_scan	3	10	1.8258570432662964
ScaBER	all_sample_candidates	4	4	1.737429141998291
ZR7530	all_sample_candidates	5	5	1.8258841037750244
