sample_id	split	n_candidates	n_positive	n_empty
AU565	train	20	17	3
BT474	train	21	19	2
C33A	train	4	1	3
C4I	train	3	3	0
CAPAN1	train	4	1	3
CAPAN2	train	3	2	1
CERV186	train	4	1	3
CERV196	train	2	2	0
CERV215	train	4	3	1
CFPAC1	train	10	10	0
CaSki	train	7	6	1
DOTC2	train	12	9	3
H1395	test	14	13	1
H1437	test	7	5	2
H2009	train	7	6	1
HCC1937	train	7	6	1
HCC1954	train	30	27	3
HOKUG	train	2	2	0
HOS	train	10	7	3
HT3	train	7	6	1
HeLa	train	7	6	1
JHUS_nk1	train	5	5	0
MDA_MD_361	train	13	13	0
MDA_MD_453	train	4	3	1
ME180	test	4	3	1
MS751	train	7	6	1
QGU	train	8	6	2
SCC090	train	2	2	0
SCC152	train	53	2	51
SCC154	test	4	3	1
SIHA	train	8	6	2
SKBR3	train	19	17	2
SNU1000	train	6	5	1
SNU1005	train	7	6	1
SNU1299	train	5	5	0
SNU17	train	4	4	0
SNU682	train	5	4	1
SNU703	train	4	3	1
SNU902	train	3	2	1
SUIT	train	5	3	2
SW756	train	10	7	3
ScaBER	train	4	4	0
ZR7530	test	5	5	0
