method	class	tp	fp	fn	tn	precision	recall	f1	f2	accuracy
Chromosome model	BFB	29	47	8	763	0.3815789473684211	0.7837837837837838	0.5132743362831859	0.6473214285714285	0.935064935064935
Chromosome model	chromothripsis	8	23	24	792	0.25806451612903225	0.25	0.25396825396825395	0.25157232704402516	0.9445100354191264
Chromosome model	ecDNA	7	35	6	799	0.16666666666666666	0.5384615384615384	0.2545454545454545	0.3723404255319149	0.9515938606847698
Chromosome model	seismic_amplification	10	10	7	820	0.5	0.5882352941176471	0.5405405405405406	0.5681818181818182	0.9799291617473436
Localization→chromosome	BFB	28	41	9	769	0.4057971014492754	0.7567567567567568	0.5283018867924528	0.6451612903225806	0.9409681227863046
Localization→chromosome	chromothripsis	10	29	22	786	0.2564102564102564	0.3125	0.28169014084507044	0.2994011976047904	0.9397874852420307
Localization→chromosome	ecDNA	8	24	5	810	0.25	0.6153846153846154	0.35555555555555557	0.4761904761904762	0.9657615112160567
Localization→chromosome	seismic_amplification	10	4	7	826	0.7142857142857143	0.5882352941176471	0.6451612903225806	0.6097560975609756	0.987012987012987
OR ensemble	BFB	32	69	5	741	0.31683168316831684	0.8648648648648649	0.463768115942029	0.642570281124498	0.9126328217237308
OR ensemble	chromothripsis	15	45	17	770	0.25	0.46875	0.32608695652173914	0.39893617021276595	0.9268004722550177
OR ensemble	ecDNA	9	48	4	786	0.15789473684210525	0.6923076923076923	0.2571428571428571	0.4128440366972477	0.9386068476977568
OR ensemble	seismic_amplification	11	14	6	816	0.44	0.6470588235294118	0.5238095238095238	0.5913978494623656	0.9763872491145218
AND ensemble	BFB	25	19	12	791	0.5681818181818182	0.6756756756756757	0.6172839506172839	0.6510416666666666	0.9634002361275088
AND ensemble	chromothripsis	3	7	29	808	0.3	0.09375	0.14285714285714285	0.10869565217391304	0.9574970484061394
AND ensemble	ecDNA	6	11	7	823	0.35294117647058826	0.46153846153846156	0.4	0.4347826086956522	0.9787485242030697
AND ensemble	seismic_amplification	9	0	8	830	1.0	0.5294117647058824	0.6923076923076923	0.5844155844155844	0.9905548996458088
LOO stacked ensemble	BFB	23	14	14	796	0.6216216216216216	0.6216216216216216	0.6216216216216216	0.6216216216216216	0.9669421487603306
LOO stacked ensemble	chromothripsis	8	29	24	786	0.21621621621621623	0.25	0.2318840579710145	0.24242424242424243	0.9374262101534829
LOO stacked ensemble	ecDNA	1	4	12	830	0.2	0.07692307692307693	0.1111111111111111	0.08771929824561404	0.9811097992916175
LOO stacked ensemble	seismic_amplification	10	1	7	829	0.9090909090909091	0.5882352941176471	0.7142857142857143	0.6329113924050632	0.9905548996458088
