evaluation	label	calls	predictions	true_predictions	recall	precision	f1	f2
old_shared	ecDNA	13	33	7	0.5384615384615384	0.21212121212121213	0.30434782608695654	0.4117647058823529
retrained_shared	ecDNA	13	34	6	0.46153846153846156	0.17647058823529413	0.25531914893617025	0.3488372093023256
retrained_full	ecDNA	13	34	6	0.46153846153846156	0.17647058823529413	0.25531914893617025	0.3488372093023256
old_shared	chromothripsis	40	41	12	0.3	0.2926829268292683	0.2962962962962963	0.2985074626865672
retrained_shared	chromothripsis	40	47	8	0.2	0.1702127659574468	0.18390804597701152	0.19323671497584544
retrained_full	chromothripsis	42	50	8	0.19047619047619047	0.16	0.17391304347826086	0.1834862385321101
old_shared	BFB	42	75	26	0.6190476190476191	0.3466666666666667	0.4444444444444445	0.5349794238683128
retrained_shared	BFB	42	76	24	0.5714285714285714	0.3157894736842105	0.4067796610169492	0.4918032786885246
retrained_full	BFB	42	80	24	0.5714285714285714	0.3	0.3934426229508196	0.4838709677419355
old_shared	seismic_amplification	17	14	10	0.5882352941176471	0.7142857142857143	0.6451612903225806	0.6097560975609756
retrained_shared	seismic_amplification	17	15	9	0.5294117647058824	0.6	0.5625	0.5421686746987953
retrained_full	seismic_amplification	17	15	9	0.5294117647058824	0.6	0.5625	0.5421686746987953
