label	threshold	scale	region_mode	nms_mode	maximum_per_sample	calls	predictions	true_predictions	recall	precision	f1	f2	fold
ecDNA	0.7058953046798706	0.67	representative	none	2	5	2	2	0.4	1.0	0.5714285714285715	0.4545454545454545	AU565
chromothripsis	0.6856527924537659	0.67	representative	none	1	5	1	1	0.2	1.0	0.3333333333333333	0.238095238095238	AU565
BFB	0.6245416402816772	1.0	envelope	containment	8	9	13	7	0.7777777777777778	0.5384615384615384	0.6363636363636364	0.7142857142857142	AU565
seismic_amplification	0.5509999394416809	0.67	representative	none	2	5	4	3	0.6	0.75	0.6666666666666665	0.625	AU565
ecDNA	0.532319188117981	1.0	representative	none	2	5	6	3	0.6	0.5	0.5454545454545454	0.5769230769230769	BT474
chromothripsis	0.6712230443954468	0.67	representative	none	4	6	7	3	0.5	0.4285714285714285	0.4615384615384615	0.4838709677419354	BT474
BFB	0.6008946299552917	1.0	representative	containment	4	9	11	6	0.6666666666666666	0.5454545454545454	0.6	0.6382978723404255	BT474
seismic_amplification	0.7656469345092773	0.67	representative	none	2	5	3	3	0.6	1.0	0.7499999999999999	0.6521739130434783	BT474
ecDNA	0.4839835464954376	0.67	representative	none	2	5	6	3	0.6	0.5	0.5454545454545454	0.5769230769230769	C4I
chromothripsis	0.5124875903129578	0.67	representative	none	8	6	14	4	0.6666666666666666	0.2857142857142857	0.4	0.5263157894736842	C4I
BFB	0.1972041130065918	0.67	representative	none	2	9	8	6	0.6666666666666666	0.75	0.7058823529411765	0.6818181818181819	C4I
seismic_amplification	0.7257527112960815	0.67	representative	none	2	5	3	3	0.6	1.0	0.7499999999999999	0.6521739130434783	C4I
ecDNA	0.4736096262931824	0.67	representative	none	4	5	7	3	0.6	0.4285714285714285	0.5	0.5555555555555556	CERV186
chromothripsis	0.6281840801239014	0.67	representative	none	2	6	4	2	0.3333333333333333	0.5	0.4	0.3571428571428571	CERV186
BFB	0.3387218117713928	0.67	representative	none	2	10	8	7	0.7	0.875	0.7777777777777777	0.7291666666666666	CERV186
seismic_amplification	0.8875846862792969	0.67	representative	none	2	5	3	3	0.6	1.0	0.7499999999999999	0.6521739130434783	CERV186
ecDNA	0.4295089244842529	0.67	representative	none	4	5	7	3	0.6	0.4285714285714285	0.5	0.5555555555555556	CERV196
chromothripsis	0.6377012133598328	0.67	representative	none	2	6	6	2	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	CERV196
BFB	0.5413755178451538	1.0	envelope	none	8	10	14	8	0.8	0.5714285714285714	0.6666666666666666	0.7407407407407408	CERV196
seismic_amplification	0.8822880983352661	0.67	representative	none	2	5	3	3	0.6	1.0	0.7499999999999999	0.6521739130434783	CERV196
ecDNA	0.4112603366374969	0.67	representative	none	4	5	7	3	0.6	0.4285714285714285	0.5	0.5555555555555556	CERV215
chromothripsis	0.6521559357643127	0.67	representative	none	1	6	3	2	0.3333333333333333	0.6666666666666666	0.4444444444444444	0.3703703703703703	CERV215
BFB	0.507796049118042	0.67	representative	none	4	10	12	7	0.7	0.5833333333333334	0.6363636363636365	0.6730769230769232	CERV215
seismic_amplification	0.8545535206794739	0.67	representative	none	2	5	3	3	0.6	1.0	0.7499999999999999	0.6521739130434783	CERV215
