fold	epochs_run	best_epoch	best_validation_loss
AU565	59	24	1.5197877883911133
BT474	75	40	1.359508037567139
C4I	81	46	1.3272603750228882
CERV186	69	34	1.4415931701660156
CERV196	69	34	1.44774067401886
CERV215	75	40	1.4976590871810913
CFPAC1	65	30	1.383508324623108
CaSki	56	21	1.426641583442688
DOTC2	66	31	1.447928547859192
H1395	73	38	1.389693260192871
H2009	72	37	1.361992120742798
HCC1937	63	28	1.4139456748962402
HCC1954	69	34	1.3748868703842163
HOS	68	33	1.3920434713363647
HT3	67	32	1.3519935607910156
MDA_MD_361	70	35	1.4465969800949097
MDA_MD_453	67	32	1.3796780109405518
MS751	64	29	1.3953124284744265
OMC1	69	34	1.3705365657806396
QGU	64	29	1.4812676906585691
SCC090	66	31	1.4347925186157229
SCC152	75	40	1.342912197113037
SCC154	69	34	1.4706652164459229
SIHA	68	33	1.4182615280151367
SKBR3	65	31	1.4272452592849731
SNU1000	67	32	1.3995822668075562
SNU1005	65	30	1.4463236331939695
SNU1245	71	36	1.3623363971710205
SNU1299	67	32	1.3551348447799685
SNU17	81	46	1.3578596115112305
SNU682	70	35	1.3797926902770996
SNU703	73	38	1.3985503911972046
SNU778	69	34	1.4539153575897217
SNU902	63	28	1.4312406778335571
SUIT	71	36	1.375617265701294
ScaBER	76	41	1.3809503316879272
ZR7530	64	29	1.4303807020187378
