split	run	sample_id	chrom	class	probability	threshold	predicted	truth	margin	true_classes	class_fp_rank
loo	BT474	BT474	chr12	BFB	0.8214828372001648	0.25	1	0	0.5714828372001648		1
loo	BT474	BT474	chr14	BFB	0.760631263256073	0.25	1	0	0.510631263256073		2
loo	ZR7530	ZR7530	chr8	BFB	0.8171698451042175	0.3700000047683716	1	0	0.44716984033584595	seismic_amplification	3
loo	ZR7530	ZR7530	chr17	BFB	0.7948686480522156	0.3700000047683716	1	0	0.424868643283844	seismic_amplification	4
loo	AU565	AU565	chr6	BFB	0.7798215746879578	0.3600000143051147	1	0	0.4198215603828431		5
loo	SKBR3	SKBR3	chr6	BFB	0.8138461709022522	0.4199999868869781	1	0	0.3938461840152741		6
loo	BT474	BT474	chr7	BFB	0.625553548336029	0.25	1	0	0.37555354833602905		7
loo	SNU17	SNU17	chr20	BFB	0.6605292558670044	0.3100000023841858	1	0	0.3505292534828186		8
loo	AU565	AU565	chr17	BFB	0.6657537221908569	0.3600000143051147	1	0	0.30575370788574224		9
loo	SKBR3	SKBR3	chr10	BFB	0.717191219329834	0.4199999868869781	1	0	0.2971912324428559		10
loo	SUIT	SUIT	chr6	chromothripsis	0.7949206829071045	0.5699999928474426	1	0	0.22492069005966187		1
loo	HCC1937	HCC1937	chr13	chromothripsis	0.7880107760429382	0.6200000047683716	1	0	0.16801077127456665		2
loo	AU565	AU565	chr3	chromothripsis	0.82762211561203	0.6700000166893005	1	0	0.1576220989227295		3
loo	SIHA	SIHA	chr7	chromothripsis	0.7178962826728821	0.5799999833106995	1	0	0.13789629936218262		4
loo	SIHA	SIHA	chr16	chromothripsis	0.6944969892501831	0.5799999833106995	1	0	0.11449700593948364	seismic_amplification	5
loo	AU565	AU565	chrX	chromothripsis	0.7805178165435791	0.6700000166893005	1	0	0.11051779985427856		6
loo	MDA_MD_453	MDA_MD_453	chr17	chromothripsis	0.7370402812957764	0.6399999856948853	1	0	0.09704029560089111	seismic_amplification	7
loo	QGU	QGU	chr2	chromothripsis	0.7373817563056946	0.6499999761581421	1	0	0.08738178014755249		8
loo	H2009	H2009	chr13	chromothripsis	0.6688549518585205	0.6000000238418579	1	0	0.0688549280166626		9
loo	AU565	AU565	chr5	chromothripsis	0.736807644367218	0.6700000166893005	1	0	0.06680762767791748		10
loo	SNU1000	SNU1000	chr11	ecDNA	0.8677026033401489	0.3400000035762787	1	0	0.5277025997638702	BFB	1
loo	CaSki	CaSki	chr11	ecDNA	0.7507725358009338	0.4099999964237213	1	0	0.3407725393772125	BFB	2
loo	HT3	HT3	chr17	ecDNA	0.5450082421302795	0.209999993443489	1	0	0.3350082486867906	BFB	3
loo	SNU1299	SNU1299	chr11	ecDNA	0.7250179052352905	0.4699999988079071	1	0	0.2550179064273834	BFB	4
loo	MS751	MS751	chr21	ecDNA	0.4548533856868744	0.209999993443489	1	0	0.2448533922433854		5
loo	AU565	AU565	chr7	ecDNA	0.5957932472229004	0.3600000143051147	1	0	0.2357932329177857	BFB	6
loo	MS751	MS751	chr7	ecDNA	0.434644341468811	0.209999993443489	1	0	0.224644348025322		7
loo	SIHA	SIHA	chr20	ecDNA	0.6895419955253601	0.4699999988079071	1	0	0.219541996717453	BFB	8
loo	BT474	BT474	chr15	ecDNA	0.7182140946388245	0.5099999904632568	1	0	0.20821410417556763	BFB	9
loo	HCC1954	HCC1954	chr15	ecDNA	0.4202615916728973	0.2300000041723251	1	0	0.19026158750057218		10
loo	AU565	AU565	chr5	seismic_amplification	0.8156635761260986	0.3300000131130218	1	0	0.48566356301307684		1
loo	AU565	AU565	chr14	seismic_amplification	0.6871411204338074	0.3300000131130218	1	0	0.3571411073207856		2
loo	AU565	AU565	chr3	seismic_amplification	0.6787183284759521	0.3300000131130218	1	0	0.34871831536293035		3
loo	AU565	AU565	chrX	seismic_amplification	0.5830588340759277	0.3300000131130218	1	0	0.25305882096290594		4
loo	AU565	AU565	chr6	seismic_amplification	0.4707458317279815	0.3300000131130218	1	0	0.14074581861495972		5
loo	SKBR3	SKBR3	chr5	seismic_amplification	0.8959898948669434	0.7699999809265137	1	0	0.1259899139404297		6
loo	AU565	AU565	chr17	seismic_amplification	0.4378196895122528	0.3300000131130218	1	0	0.10781967639923101		7
loo	HOS	HOS	chr11	seismic_amplification	0.9057260155677797	0.8399999737739563	1	0	0.06572604179382335		8
loo	SKBR3	SKBR3	chr3	seismic_amplification	0.8292185664176941	0.7699999809265137	1	0	0.05921858549118042	BFB	9
loo	MDA_MD_453	MDA_MD_453	chr11	seismic_amplification	0.8257091641426086	0.800000011920929	1	0	0.025709152221679688	chromothripsis	10
