sample_id	chrom	class
AU565	chr5	BFB
BT474	chr17	seismic_amplification
BT474	chr4	seismic_amplification
BT474	chr8	chromothripsis
C4I	chr11	BFB
C4I	chr16	ecDNA
CERV186	chr1	BFB
CERV186	chr17	chromothripsis
CERV186	chr8	ecDNA
CERV196	chr12	BFB
CERV196	chr12	ecDNA
CERV196	chr6	ecDNA
CERV215	chr16	BFB
CERV215	chr8	chromothripsis
CERV215	chrX	BFB
CFPAC1	chr11	BFB
CFPAC1	chr17	chromothripsis
CaSki	chr15	chromothripsis
CaSki	chr7	BFB
DOTC2	chr1	chromothripsis
DOTC2	chr20	chromothripsis
H1395	chr6	BFB
H1395	chr6	ecDNA
H1395	chr7	BFB
H1395	chr8	ecDNA
H2009	chr18	chromothripsis
H2009	chrX	BFB
HCC1954	chr17	BFB
HCC1954	chr17	ecDNA
HOS	chr1	chromothripsis
HOS	chr11	BFB
HOS	chr17	BFB
HOS	chr17	chromothripsis
HOS	chr2	chromothripsis
HOS	chr20	chromothripsis
HOS	chr6	chromothripsis
HOS	chr7	chromothripsis
HT3	chr17	chromothripsis
MDA_MD_361	chr14	ecDNA
MDA_MD_361	chr16	chromothripsis
MDA_MD_361	chr16	seismic_amplification
MDA_MD_361	chr17	BFB
MDA_MD_361	chr6	seismic_amplification
MDA_MD_453	chr9	BFB
MDA_MD_453	chr9	ecDNA
MS751	chr15	BFB
MS751	chr16	BFB
MS751	chr21	chromothripsis
OMC1	chr20	BFB
OMC1	chr22	BFB
QGU	chr13	ecDNA
QGU	chr15	BFB
QGU	chr5	ecDNA
SCC152	chr3	BFB
SIHA	chr20	BFB
SKBR3	chr12	chromothripsis
SKBR3	chr14	chromothripsis
SKBR3	chr19	chromothripsis
SKBR3	chr8	ecDNA
SNU1005	chr3	BFB
SNU1299	chr12	chromothripsis
SNU682	chr11	ecDNA
SNU902	chr16	ecDNA
SUIT	chr18	BFB
SUIT	chr8	BFB
SUIT	chr8	chromothripsis
ScaBER	chr13	BFB
ZR7530	chr1	chromothripsis
