sample_id	chrom	class	localization_score	chromosome_probability
AU565	chr10	BFB	0.6721835136413574	0.4502639770507812
AU565	chr17	BFB	0.7701798677444458	0.6657537221908569
AU565	chr3	chromothripsis	0.7281679511070251	0.82762211561203
AU565	chr6	BFB	0.726293683052063	0.7798215746879578
AU565	chr8	ecDNA	0.7314596772193909	0.4751804769039154
BT474	chr12	BFB	0.8753490447998047	0.8214828372001648
BT474	chr15	ecDNA	0.8787134289741516	0.7182140946388245
BT474	chr17	ecDNA	0.707768976688385	0.5531846284866333
C4I	chr16	BFB	0.5975000858306885	0.5278230905532837
CERV196	chr11	BFB	0.6736611127853394	0.6770910024642944
CERV196	chr11	ecDNA	0.453143835067749	0.3339594006538391
CaSki	chr11	ecDNA	0.6517549753189087	0.7507725358009338
H2009	chr13	BFB	0.5533328056335449	0.3728652000427246
HCC1954	chr11	BFB	0.6841363310813904	0.4588013291358948
HCC1954	chr21	chromothripsis	0.766129732131958	0.7556108236312866
HOS	chr12	chromothripsis	0.7064764499664307	0.7415530681610107
MDA_MD_361	chr14	BFB	0.7900446653366089	0.2939499914646148
MDA_MD_453	chr17	BFB	0.4626054465770721	0.3797307014465332
MDA_MD_453	chr17	chromothripsis	0.7165018916130066	0.7370402812957764
QGU	chr2	chromothripsis	0.738959550857544	0.7373817563056946
QGU	chr5	BFB	0.6529515981674194	0.3733818233013153
SCC152	chr9	BFB	0.8953044414520264	0.7345637679100037
SIHA	chr16	BFB	0.6761288046836853	0.580452024936676
SKBR3	chr10	BFB	0.8468877077102661	0.717191219329834
SKBR3	chr3	chromothripsis	0.5598956346511841	0.6658333539962769
SKBR3	chrX	chromothripsis	0.6062119603157043	0.6432525515556335
SNU1000	chr11	ecDNA	0.7158772945404053	0.8677026033401489
SNU1299	chr11	ecDNA	0.6932487487792969	0.7250179052352905
SNU1299	chr20	ecDNA	0.5084033608436584	0.5176206231117249
SNU17	chr20	BFB	0.5634317994117737	0.6605292558670044
SNU682	chr18	BFB	0.8077045679092407	0.4183326959609985
SNU902	chr16	BFB	0.6837011575698853	0.5196316242218018
SUIT	chr8	ecDNA	0.6395761370658875	0.5210418701171875
ZR7530	chr17	BFB	0.8720176815986633	0.7948686480522156
ZR7530	chr17	ecDNA	0.5369892716407776	0.3626385927200317
ZR7530	chr8	BFB	0.8871915340423584	0.8171698451042175
ZR7530	chr8	ecDNA	0.5864325761795044	0.3992769122123718
