sample_id	chrom	class
AU565	chr14	chromothripsis
AU565	chr14	seismic_amplification
AU565	chr17	ecDNA
AU565	chr17	seismic_amplification
AU565	chr20	BFB
AU565	chr3	seismic_amplification
AU565	chr5	chromothripsis
AU565	chr5	seismic_amplification
AU565	chr6	ecDNA
AU565	chr6	seismic_amplification
AU565	chr7	ecDNA
AU565	chrX	chromothripsis
AU565	chrX	seismic_amplification
BT474	chr1	BFB
BT474	chr11	BFB
BT474	chr12	ecDNA
BT474	chr14	BFB
BT474	chr14	ecDNA
BT474	chr20	ecDNA
BT474	chr3	BFB
BT474	chr4	BFB
BT474	chr7	BFB
BT474	chr8	BFB
BT474	chr9	ecDNA
CERV186	chr8	BFB
CFPAC1	chr17	ecDNA
CFPAC1	chr4	chromothripsis
CaSki	chr20	BFB
CaSki	chrX	BFB
H1395	chr16	BFB
H2009	chr13	chromothripsis
HCC1937	chr13	BFB
HCC1937	chr13	chromothripsis
HCC1954	chr10	chromothripsis
HCC1954	chr11	ecDNA
HCC1954	chr15	BFB
HCC1954	chr15	ecDNA
HCC1954	chr20	BFB
HCC1954	chr20	ecDNA
HCC1954	chr22	chromothripsis
HCC1954	chr4	chromothripsis
HCC1954	chr6	chromothripsis
HCC1954	chr8	BFB
HCC1954	chr8	ecDNA
HCC1954	chr9	ecDNA
HOS	chr11	chromothripsis
HOS	chr11	seismic_amplification
HT3	chr17	ecDNA
MDA_MD_361	chr17	ecDNA
MDA_MD_453	chr11	BFB
MDA_MD_453	chr11	seismic_amplification
MS751	chr21	BFB
MS751	chr21	ecDNA
MS751	chr7	BFB
MS751	chr7	ecDNA
QGU	chr9	BFB
SCC154	chr11	ecDNA
SCC154	chr8	BFB
SIHA	chr16	chromothripsis
SIHA	chr19	BFB
SIHA	chr20	ecDNA
SIHA	chr7	chromothripsis
SIHA	chrX	BFB
SKBR3	chr3	seismic_amplification
SKBR3	chr5	seismic_amplification
SKBR3	chr6	BFB
SKBR3	chr6	ecDNA
SKBR3	chr7	ecDNA
SNU1005	chr11	BFB
SNU17	chr20	ecDNA
SNU682	chr2	BFB
SNU682	chr8	BFB
SNU703	chr12	ecDNA
SNU778	chr11	ecDNA
SUIT	chr16	chromothripsis
SUIT	chr6	BFB
SUIT	chr6	chromothripsis
ZR7530	chr8	chromothripsis
