split	run	sample_id	chrom	class	probability	threshold	predicted	truth	margin	true_classes_on_chromosome	fp_context	class_fp_rank	overall_fp_rank
loo	BT474	BT474	chr12	BFB	0.8214828372001648	0.25	1	0	0.5714828372001648		unlabeled chromosome	1	1
loo	BT474	BT474	chr14	BFB	0.760631263256073	0.25	1	0	0.510631263256073		unlabeled chromosome	2	3
loo	ZR7530	ZR7530	chr8	BFB	0.8171698451042175	0.3700000047683716	1	0	0.44716984033584595	seismic_amplification	wrong class on labeled chromosome	3	5
loo	ZR7530	ZR7530	chr17	BFB	0.7948686480522156	0.3700000047683716	1	0	0.424868643283844	seismic_amplification	wrong class on labeled chromosome	4	6
loo	SUIT	SUIT	chr6	chromothripsis	0.7949206829071045	0.5699999928474426	1	0	0.22492069005966187		unlabeled chromosome	1	26
loo	HCC1937	HCC1937	chr13	chromothripsis	0.7880107760429382	0.6200000047683716	1	0	0.16801077127456665		unlabeled chromosome	2	37
loo	AU565	AU565	chr3	chromothripsis	0.82762211561203	0.6700000166893005	1	0	0.1576220989227295		unlabeled chromosome	3	40
loo	SIHA	SIHA	chr7	chromothripsis	0.7178962826728821	0.5799999833106995	1	0	0.13789629936218262		unlabeled chromosome	4	46
loo	SNU1000	SNU1000	chr11	ecDNA	0.8677026033401489	0.3400000035762787	1	0	0.5277025997638702	BFB	wrong class on labeled chromosome	1	2
loo	CaSki	CaSki	chr11	ecDNA	0.7507725358009338	0.4099999964237213	1	0	0.3407725393772125	BFB	wrong class on labeled chromosome	2	13
loo	HT3	HT3	chr17	ecDNA	0.5450082421302795	0.209999993443489	1	0	0.3350082486867906	BFB	wrong class on labeled chromosome	3	14
loo	SNU1299	SNU1299	chr11	ecDNA	0.7250179052352905	0.4699999988079071	1	0	0.2550179064273834	BFB	wrong class on labeled chromosome	4	20
loo	AU565	AU565	chr5	seismic_amplification	0.8156635761260986	0.3300000131130218	1	0	0.48566356301307684		unlabeled chromosome	1	4
loo	AU565	AU565	chr14	seismic_amplification	0.6871411204338074	0.3300000131130218	1	0	0.3571411073207856		unlabeled chromosome	2	10
loo	AU565	AU565	chr3	seismic_amplification	0.6787183284759521	0.3300000131130218	1	0	0.34871831536293035		unlabeled chromosome	3	12
loo	AU565	AU565	chrX	seismic_amplification	0.5830588340759277	0.3300000131130218	1	0	0.25305882096290594		unlabeled chromosome	4	21
