split	run	sample_id	chrom	class	probability	threshold	predicted	truth	margin	true_classes_on_chromosome	fp_context	class_fp_rank	overall_fp_rank
loo	BT474	BT474	chr12	BFB	0.8214828372001648	0.25	1	0	0.5714828372001648		unlabeled chromosome	1	1
loo	BT474	BT474	chr14	BFB	0.760631263256073	0.25	1	0	0.510631263256073		unlabeled chromosome	2	3
loo	ZR7530	ZR7530	chr8	BFB	0.8171698451042175	0.3700000047683716	1	0	0.44716984033584595	seismic_amplification	wrong class on labeled chromosome	3	5
loo	ZR7530	ZR7530	chr17	BFB	0.7948686480522156	0.3700000047683716	1	0	0.424868643283844	seismic_amplification	wrong class on labeled chromosome	4	6
loo	AU565	AU565	chr6	BFB	0.7798215746879578	0.3600000143051147	1	0	0.4198215603828431		unlabeled chromosome	5	7
loo	SKBR3	SKBR3	chr6	BFB	0.8138461709022522	0.4199999868869781	1	0	0.3938461840152741		unlabeled chromosome	6	8
loo	BT474	BT474	chr7	BFB	0.625553548336029	0.25	1	0	0.37555354833602905		unlabeled chromosome	7	9
loo	SNU17	SNU17	chr20	BFB	0.6605292558670044	0.3100000023841858	1	0	0.3505292534828186		unlabeled chromosome	8	11
loo	AU565	AU565	chr17	BFB	0.6657537221908569	0.3600000143051147	1	0	0.30575370788574224		unlabeled chromosome	9	15
loo	SKBR3	SKBR3	chr10	BFB	0.717191219329834	0.4199999868869781	1	0	0.2971912324428559		unlabeled chromosome	10	16
loo	BT474	BT474	chr11	BFB	0.5455779433250427	0.25	1	0	0.2955779433250427	seismic_amplification	wrong class on labeled chromosome	11	17
loo	SCC152	SCC152	chr9	BFB	0.7345637679100037	0.449999988079071	1	0	0.2845637798309327	ecDNA	wrong class on labeled chromosome	12	18
loo	BT474	BT474	chr1	BFB	0.5080300569534302	0.25	1	0	0.2580300569534302		unlabeled chromosome	13	19
loo	MS751	MS751	chr21	BFB	0.6956970691680908	0.449999988079071	1	0	0.24569708108901983		unlabeled chromosome	14	22
loo	SUIT	SUIT	chr6	BFB	0.5231476426124573	0.2899999916553497	1	0	0.2331476509571076		unlabeled chromosome	15	25
loo	MS751	MS751	chr7	BFB	0.6690571904182434	0.449999988079071	1	0	0.21905720233917242		unlabeled chromosome	16	29
loo	QGU	QGU	chr9	BFB	0.5107442140579224	0.3000000119209289	1	0	0.21074420213699346		unlabeled chromosome	17	30
loo	SIHA	SIHA	chr16	BFB	0.580452024936676	0.3700000047683716	1	0	0.21045202016830444	seismic_amplification	wrong class on labeled chromosome	18	31
loo	HCC1954	HCC1954	chr15	BFB	0.6373657584190369	0.4399999976158142	1	0	0.19736576080322266		unlabeled chromosome	19	33
loo	CaSki	CaSki	chr20	BFB	0.4207780361175537	0.2599999904632568	1	0	0.16077804565429693		unlabeled chromosome	20	38
loo	BT474	BT474	chr4	BFB	0.3902303874492645	0.25	1	0	0.14023038744926453		unlabeled chromosome	21	44
loo	HCC1954	HCC1954	chr20	BFB	0.5796005725860596	0.4399999976158142	1	0	0.13960057497024536		unlabeled chromosome	22	45
loo	SIHA	SIHA	chr19	BFB	0.4898450374603271	0.3700000047683716	1	0	0.11984503269195551		unlabeled chromosome	23	48
loo	SNU1005	SNU1005	chr11	BFB	0.5410370230674744	0.4300000071525574	1	0	0.11103701591491699		unlabeled chromosome	24	52
loo	SNU902	SNU902	chr16	BFB	0.5196316242218018	0.4099999964237213	1	0	0.10963162779808044		unlabeled chromosome	25	54
loo	SNU682	SNU682	chr18	BFB	0.4183326959609985	0.3199999928474426	1	0	0.09833270311355585		unlabeled chromosome	26	57
loo	H2009	H2009	chr13	BFB	0.3728652000427246	0.2800000011920929	1	0	0.09286519885063171		unlabeled chromosome	27	59
loo	AU565	AU565	chr10	BFB	0.4502639770507812	0.3600000143051147	1	0	0.0902639627456665	chromothripsis	wrong class on labeled chromosome	28	61
loo	SIHA	SIHA	chrX	BFB	0.4592884182929992	0.3700000047683716	1	0	0.08928841352462763		unlabeled chromosome	29	62
loo	HCC1937	HCC1937	chr13	BFB	0.4171539843082428	0.3400000035762787	1	0	0.07715398073196411		unlabeled chromosome	30	65
loo	BT474	BT474	chr8	BFB	0.3268102407455444	0.25	1	0	0.07681024074554438		unlabeled chromosome	31	66
loo	MDA_MD_453	MDA_MD_453	chr11	BFB	0.3863804638385772	0.3100000023841858	1	0	0.07638046145439142	chromothripsis	wrong class on labeled chromosome	32	67
loo	QGU	QGU	chr5	BFB	0.3733818233013153	0.3000000119209289	1	0	0.07338181138038641		unlabeled chromosome	33	69
loo	MDA_MD_453	MDA_MD_453	chr17	BFB	0.3797307014465332	0.3100000023841858	1	0	0.06973069906234741	seismic_amplification	wrong class on labeled chromosome	34	70
loo	CERV196	CERV196	chr11	BFB	0.6770910024642944	0.6100000143051147	1	0	0.06709098815917969		unlabeled chromosome	35	72
loo	SCC154	SCC154	chr8	BFB	0.355027973651886	0.2899999916553497	1	0	0.06502798199653631		unlabeled chromosome	36	75
loo	CERV186	CERV186	chr8	BFB	0.6439708471298218	0.5799999833106995	1	0	0.06397086381912231		unlabeled chromosome	37	76
loo	BT474	BT474	chr3	BFB	0.311174213886261	0.25	1	0	0.061174213886260986		unlabeled chromosome	38	77
loo	C4I	C4I	chr16	BFB	0.5278230905532837	0.4799999892711639	1	0	0.047823101282119806		unlabeled chromosome	39	85
loo	H1395	H1395	chr16	BFB	0.3051882982254028	0.2599999904632568	1	0	0.045188307762145996		unlabeled chromosome	40	87
loo	MDA_MD_361	MDA_MD_361	chr14	BFB	0.2939499914646148	0.270000010728836	1	0	0.02394998073577881		unlabeled chromosome	41	99
loo	SNU682	SNU682	chr8	BFB	0.3401074111461639	0.3199999928474426	1	0	0.020107418298721258		unlabeled chromosome	42	102
loo	HCC1954	HCC1954	chr11	BFB	0.4588013291358948	0.4399999976158142	1	0	0.018801331520080566		unlabeled chromosome	43	103
loo	AU565	AU565	chr20	BFB	0.3782887458801269	0.3600000143051147	1	0	0.018288731575012207	chromothripsis;seismic_amplification	wrong class on labeled chromosome	44	104
loo	CaSki	CaSki	chrX	BFB	0.2714892923831939	0.2599999904632568	1	0	0.011489301919937134		unlabeled chromosome	45	110
loo	HCC1954	HCC1954	chr8	BFB	0.4441279172897339	0.4399999976158142	1	0	0.004127919673919678	seismic_amplification	wrong class on labeled chromosome	46	111
loo	SNU682	SNU682	chr2	BFB	0.3238194286823272	0.3199999928474426	1	0	0.003819435834884588		unlabeled chromosome	47	112
loo	SUIT	SUIT	chr6	chromothripsis	0.7949206829071045	0.5699999928474426	1	0	0.22492069005966187		unlabeled chromosome	1	26
loo	HCC1937	HCC1937	chr13	chromothripsis	0.7880107760429382	0.6200000047683716	1	0	0.16801077127456665		unlabeled chromosome	2	37
loo	AU565	AU565	chr3	chromothripsis	0.82762211561203	0.6700000166893005	1	0	0.1576220989227295		unlabeled chromosome	3	40
loo	SIHA	SIHA	chr7	chromothripsis	0.7178962826728821	0.5799999833106995	1	0	0.13789629936218262		unlabeled chromosome	4	46
loo	SIHA	SIHA	chr16	chromothripsis	0.6944969892501831	0.5799999833106995	1	0	0.11449700593948364	seismic_amplification	wrong class on labeled chromosome	5	51
loo	AU565	AU565	chrX	chromothripsis	0.7805178165435791	0.6700000166893005	1	0	0.11051779985427856		unlabeled chromosome	6	53
loo	MDA_MD_453	MDA_MD_453	chr17	chromothripsis	0.7370402812957764	0.6399999856948853	1	0	0.09704029560089111	seismic_amplification	wrong class on labeled chromosome	7	58
loo	QGU	QGU	chr2	chromothripsis	0.7373817563056946	0.6499999761581421	1	0	0.08738178014755249		unlabeled chromosome	8	64
loo	H2009	H2009	chr13	chromothripsis	0.6688549518585205	0.6000000238418579	1	0	0.0688549280166626		unlabeled chromosome	9	71
loo	AU565	AU565	chr5	chromothripsis	0.736807644367218	0.6700000166893005	1	0	0.06680762767791748		unlabeled chromosome	10	73
loo	HCC1954	HCC1954	chr21	chromothripsis	0.7556108236312866	0.699999988079071	1	0	0.055610835552215576	seismic_amplification	wrong class on labeled chromosome	11	80
loo	HCC1954	HCC1954	chr6	chromothripsis	0.7554522156715393	0.699999988079071	1	0	0.05545222759246826		unlabeled chromosome	12	81
loo	AU565	AU565	chr14	chromothripsis	0.7247066497802734	0.6700000166893005	1	0	0.0547066330909729		unlabeled chromosome	13	82
loo	HCC1954	HCC1954	chr10	chromothripsis	0.7484714984893799	0.699999988079071	1	0	0.04847151041030884		unlabeled chromosome	14	84
loo	HOS	HOS	chr12	chromothripsis	0.7415530681610107	0.699999988079071	1	0	0.0415530800819397		unlabeled chromosome	15	91
loo	HCC1954	HCC1954	chr22	chromothripsis	0.7414831519126892	0.699999988079071	1	0	0.041483163833618164		unlabeled chromosome	16	92
loo	SKBR3	SKBR3	chr3	chromothripsis	0.6658333539962769	0.6299999952316284	1	0	0.03583335876464844	BFB	wrong class on labeled chromosome	17	94
loo	CFPAC1	CFPAC1	chr4	chromothripsis	0.670867383480072	0.6399999856948853	1	0	0.030867397785186768		unlabeled chromosome	18	96
loo	HCC1954	HCC1954	chr4	chromothripsis	0.7222469449043274	0.699999988079071	1	0	0.022246956825256348		unlabeled chromosome	19	100
loo	ZR7530	ZR7530	chr8	chromothripsis	0.6943246126174927	0.6800000071525574	1	0	0.014324605464935303	seismic_amplification	wrong class on labeled chromosome	20	106
loo	HOS	HOS	chr11	chromothripsis	0.7142623662948608	0.699999988079071	1	0	0.014262378215789795		unlabeled chromosome	21	107
loo	SKBR3	SKBR3	chrX	chromothripsis	0.6432525515556335	0.6299999952316284	1	0	0.013252556324005127		unlabeled chromosome	22	108
loo	SUIT	SUIT	chr16	chromothripsis	0.5706480145454407	0.5699999928474426	1	0	0.0006480216979980469		unlabeled chromosome	23	115
loo	SNU1000	SNU1000	chr11	ecDNA	0.8677026033401489	0.3400000035762787	1	0	0.5277025997638702	BFB	wrong class on labeled chromosome	1	2
loo	CaSki	CaSki	chr11	ecDNA	0.7507725358009338	0.4099999964237213	1	0	0.3407725393772125	BFB	wrong class on labeled chromosome	2	13
loo	HT3	HT3	chr17	ecDNA	0.5450082421302795	0.209999993443489	1	0	0.3350082486867906	BFB	wrong class on labeled chromosome	3	14
loo	SNU1299	SNU1299	chr11	ecDNA	0.7250179052352905	0.4699999988079071	1	0	0.2550179064273834	BFB	wrong class on labeled chromosome	4	20
loo	MS751	MS751	chr21	ecDNA	0.4548533856868744	0.209999993443489	1	0	0.2448533922433854		unlabeled chromosome	5	23
loo	AU565	AU565	chr7	ecDNA	0.5957932472229004	0.3600000143051147	1	0	0.2357932329177857	BFB	wrong class on labeled chromosome	6	24
loo	MS751	MS751	chr7	ecDNA	0.434644341468811	0.209999993443489	1	0	0.224644348025322		unlabeled chromosome	7	27
loo	SIHA	SIHA	chr20	ecDNA	0.6895419955253601	0.4699999988079071	1	0	0.219541996717453	BFB	wrong class on labeled chromosome	8	28
