sample_id	chrom	class
AU565	chr10	BFB
AU565	chr17	BFB
AU565	chr3	chromothripsis
AU565	chr6	BFB
AU565	chr8	ecDNA
BT474	chr12	BFB
BT474	chr15	ecDNA
BT474	chr17	ecDNA
C4I	chr16	BFB
CERV196	chr11	BFB
CERV196	chr11	ecDNA
CaSki	chr11	ecDNA
H2009	chr13	BFB
HCC1954	chr11	BFB
HCC1954	chr21	chromothripsis
HOS	chr12	chromothripsis
MDA_MD_361	chr14	BFB
MDA_MD_453	chr17	BFB
MDA_MD_453	chr17	chromothripsis
QGU	chr2	chromothripsis
QGU	chr5	BFB
SCC152	chr9	BFB
SIHA	chr16	BFB
SKBR3	chr10	BFB
SKBR3	chr3	chromothripsis
SKBR3	chrX	chromothripsis
SNU1000	chr11	ecDNA
SNU1299	chr11	ecDNA
SNU1299	chr20	ecDNA
SNU17	chr20	BFB
SNU682	chr18	BFB
SNU902	chr16	BFB
SUIT	chr8	ecDNA
ZR7530	chr17	BFB
ZR7530	chr17	ecDNA
ZR7530	chr8	BFB
ZR7530	chr8	ecDNA
